trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
446,False,"{'a': 0.002, 'e': 0.4106557527523455}",20,0,-46.878816579717714,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
447,False,"{'a': 0.002, 'e': 0.40983526201107895}",25,11,13.294094109883266,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
448,False,"{'a': 0.002, 'e': 0.4090164106114069}",20,15,-1.4195085469052637,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
449,False,"{'a': 0.002, 'e': 0.4081991952779227}",30,19,9.257566476079456,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
450,False,"{'a': 0.002, 'e': 0.4073836127417638}",20,0,-19.931650976635922,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
451,False,"{'a': 0.002, 'e': 0.4065696597405991}",30,13,-30.140313798591727,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
452,False,"{'a': 0.002, 'e': 0.40575733301861544}",20,8,9.378916139662296,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
453,False,"{'a': 0.002, 'e': 0.4049466293265049}",20,11,3.6374786207742966,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
454,False,"{'a': 0.002, 'e': 0.4041375454214515}",25,9,-33.1397587739527,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 1}",1
455,False,"{'a': 0.002, 'e': 0.40333007806711874}",30,11,-20.366260033907654,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 0}",1
456,False,"{'a': 0.002, 'e': 0.40252422403363597}",35,0,-21.44133559690337,"{0: 30, 1: 3, 2: 1, 3: 0, 4: 1}",1
457,False,"{'a': 0.002, 'e': 0.401719980097586}",25,6,-42.569487568560085,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 1}",1
458,False,"{'a': 0.002, 'e': 0.4009173430419921}",30,21,-4.176686459935728,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
459,False,"{'a': 0.002, 'e': 0.40011630965630496}",35,24,-8.633920110078737,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 0}",1
460,False,"{'a': 0.002, 'e': 0.3993168767363899}",20,10,-14.07174649200009,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
461,False,"{'a': 0.002, 'e': 0.39851904108451414}",30,11,-20.779619196635377,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 0}",1
462,False,"{'a': 0.002, 'e': 0.39772279950933415}",20,9,6.312308982607482,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
463,False,"{'a': 0.002, 'e': 0.39692814882588245}",30,0,-28.318765093630237,"{0: 24, 1: 0, 2: 6, 3: 0, 4: 0}",0
464,False,"{'a': 0.002, 'e': 0.39613508585555535}",30,6,-51.67346020392205,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 1}",1
465,False,"{'a': 0.002, 'e': 0.3953436074260998}",25,0,-44.70394658912929,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
466,False,"{'a': 0.002, 'e': 0.3945537103716011}",20,0,-108.4713295821286,"{0: 15, 1: 0, 2: 1, 3: 2, 4: 2}",1
467,False,"{'a': 0.002, 'e': 0.39376539153247}",25,16,-9.295538379955175,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
468,False,"{'a': 0.002, 'e': 0.39297864775542996}",20,0,2.4571154614874455,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
469,False,"{'a': 0.002, 'e': 0.39219347589350495}",35,23,23.60830026165644,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
470,False,"{'a': 0.002, 'e': 0.3914098728060065}",20,6,-17.922550754657273,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
471,False,"{'a': 0.002, 'e': 0.3906278353585211}",20,6,-7.195063957844109,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
472,False,"{'a': 0.002, 'e': 0.38984736042289797}",35,13,24.799205827004645,"{0: 20, 1: 2, 2: 0, 3: 0, 4: 0}",1
473,False,"{'a': 0.002, 'e': 0.3890684448772363}",20,0,27.69680958211612,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
474,False,"{'a': 0.002, 'e': 0.38829108560587294}",25,0,-36.757362345340006,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 1}",0
475,False,"{'a': 0.002, 'e': 0.3875152794993697}",25,0,-112.09410133707254,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
476,False,"{'a': 0.002, 'e': 0.3867410234545012}",20,7,-12.943592602487854,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
477,False,"{'a': 0.002, 'e': 0.3859683143742421}",25,14,8.067854170074948,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
478,False,"{'a': 0.002, 'e': 0.38519714916775516}",20,2,-80.93206545266422,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 2}",1
479,False,"{'a': 0.002, 'e': 0.3844275247503785}",20,2,-52.41222991023789,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 1}",1
480,False,"{'a': 0.002, 'e': 0.38365943804361335}",20,8,-59.67276775545007,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 2}",1
481,False,"{'a': 0.002, 'e': 0.38289288597511206}",25,0,16.495105767153056,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
482,False,"{'a': 0.002, 'e': 0.38212786547866506}",20,10,-78.05337708571169,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 2}",1
483,False,"{'a': 0.002, 'e': 0.38136437349418956}",20,0,5.407842220870961,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
484,False,"{'a': 0.002, 'e': 0.38060240696771647}",30,7,-101.12779317221496,"{0: 17, 1: 0, 2: 3, 3: 1, 4: 2}",1
